100000000120260801C+00000050000PAYROLL DEPOSIT                         
100000000120260812D+00000020000ATM WITHDRAWAL                          
100000000220260803D+00000040000POS PURCHASE                            
100000000220260818D+00000010000BILL PAYMENT                            
100000000320260805D+00000050000OVERDRAFT ATTEMPT                       
100000000420260809D+00000005000CLOSED ACCOUNT DEBIT                    
999999999920260810C+00000002500UNKNOWN ACCOUNT CREDIT                  
100000000320260820C+00000007500CASH DEPOSIT                            
100000000220260822X+00000001000BAD TYPE                                
100000000220260825D+00000000000ZERO AMOUNT                             
